x_utm,y_utm,ba_ppm,co_ppm,cr_ppm,cu_ppm,fe2o3_pct,ni_ppm,p_ppm,pb_ppm,v_ppm,y_ppm,zn_ppm
759452,6211874,368,5,11,7,5.98,2,343,6,90,19,68
759012,6211795,416,5,12,7,6.41,3,514,19,91,28,96
758277,6211525,784,5,13,8,8.29,3,402,6,82,27,117
757737,6211181,430,5,13,8,7.85,4,492,7,101,35,111
757255,6211091,659,5,28,16,7.28,12,894,7,91,27,98
757494,6209980,426,5,14,9,7.21,4,390,18,86,21,127
757324,6209742,419,5,14,9,5.72,4,480,7,79,23,98
756927,6209726,500,5,14,9,7.61,4,463,23,88,20,90
756483,6210160,447,5,9,10,5.49,4,324,7,85,18,74
756282,6210345,475,5,18,10,5.22,4,447,7,83,28,98
755885,6210557,468,5,16,13,4.76,5,593,7,62,17,75
759414,6209350,346,5,14,11,4.98,5,363,7,79,27,108
759536,6209483,440,5,17,16,9.01,5,485,11,84,28,119
759737,6209324,411,5,12,11,6.41,5,361,7,67,32,92
759340,6208731,620,5,13,11,8.76,5,365,7,88,37,137
759727,6207477,401,5,13,12,6.95,5,245,7,84,49,75
758007,6208271,308,5,16,15,7.72,5,670,13,102,24,86
758515,6207720,408,5,15,12,6.65,5,646,7,78,17,97
758827,6206519,430,5,16,12,7.25,5,428,7,99,21,89
757716,6207435,349,5,18,13,8.34,5,334,7,86,27,102
756557,6207096,363,5,16,11,6.72,6,286,7,65,20,102
756356,6206906,434,5,21,13,6.61,6,472,7,87,23,116
756462,6206630,516,5,20,13,6.68,18,386,7,76,28,99
756504,6206286,322,5,13,11,3.15,6,356,7,43,18,74
757689,6206858,389,6,15,12,6.43,6,335,7,63,24,89
758674,6206043,437,6,20,14,6.72,6,475,7,75,18,84
755048,6211525,505,6,15,14,5.33,6,272,13,68,19,80
755536,6211740,463,6,19,14,4.92,11,276,11,66,25,70
755496,6210918,521,6,14,15,3.95,6,376,7,58,18,58
756123,6211263,466,6,16,11,5.79,6,324,7,76,19,85
753722,6211172,469,6,23,14,6.38,13,383,8,82,37,105
753781,6210874,785,6,17,12,6.35,6,368,14,67,25,100
753599,6212117,521,6,18,14,6.03,6,311,8,82,22,93
753035,6211656,596,6,15,13,5.02,6,602,8,67,17,67
753226,6210204,588,6,17,11,8.78,6,501,8,92,34,122
753539,6210045,562,6,20,12,6.46,6,441,8,72,26,95
754349,6209096,519,6,19,19,5.16,7,322,12,69,18,77
754551,6209319,547,6,16,13,8.42,7,579,8,89,27,109
753393,6209287,548,6,15,14,7.02,7,340,8,92,26,102
754813,6207699,502,13,22,13,8.28,14,261,8,88,22,71
754686,6207560,619,6,14,14,9.37,7,735,8,94,32,116
757502,6211561,511,6,18,12,8.24,7,496,8,80,21,81
755063,6205600,528,6,23,12,9.49,26,395,11,115,31,101
754516,6204973,459,6,18,17,3.93,11,501,12,62,31,88
754194,6205124,446,6,18,15,5.20,7,451,8,76,31,80
756714,6203929,440,6,17,12,6.38,7,396,8,95,25,103
756512,6204770,389,6,18,15,6.05,7,183,8,83,21,75
756183,6204802,397,6,15,13,6.65,7,464,8,94,22,96
755905,6205735,390,7,17,15,4.18,7,320,8,68,18,89
755988,6205461,401,7,17,14,5.62,7,218,8,76,19,62
757718,6205187,428,7,16,11,6.49,7,333,13,100,26,100
757651,6204274,541,7,19,21,5.25,12,288,8,90,15,100
757472,6203873,442,7,18,18,7.16,7,349,8,81,17,72
759210,6204087,368,7,16,16,3.33,8,289,8,67,12,57
759616,6204544,415,7,24,15,5.55,8,239,14,89,14,60
758257,6205338,442,7,16,12,7.72,8,689,9,84,16,93
753182,6208199,421,7,20,15,6.51,8,292,9,91,24,74
753214,6206842,541,7,20,14,6.81,8,432,9,100,28,94
753023,6205834,524,7,21,12,6.55,11,594,9,83,39,109
752948,6206080,477,7,17,13,8.66,8,444,9,68,23,84
753805,6206779,484,7,19,13,5.36,8,282,12,100,46,79
753916,6207767,549,7,15,12,5.96,8,270,9,81,43,101
753139,6202270,583,7,16,14,4.53,8,448,14,68,27,64
753337,6202234,453,7,38,13,6.66,8,375,9,80,36,102
755206,6203901,587,7,25,13,7.41,8,317,23,111,28,83
755222,6203623,382,7,18,13,4.28,8,313,9,90,25,101
755016,6202262,504,7,23,18,8.94,8,457,9,114,29,99
755579,6203417,391,8,18,12,5.49,13,319,9,77,24,100
755714,6202270,408,8,20,21,4.60,12,215,9,69,22,62
758169,6202176,503,8,17,18,5.60,8,300,11,81,16,67
757158,6202266,413,8,21,16,5.18,9,270,9,86,20,94
756264,6202483,394,8,34,19,7.18,15,358,9,91,21,86
752538,6203576,468,8,18,11,5.03,9,413,11,75,19,89
752478,6203362,444,8,18,18,3.65,9,237,11,61,14,55
752264,6203894,478,8,19,14,2.60,9,258,9,48,13,61
751423,6204557,505,8,21,17,6.86,9,395,9,60,17,88
751145,6204211,503,8,16,13,3.40,9,405,9,60,17,82
751808,6204211,479,8,19,11,5.70,9,463,10,78,28,89
751423,6202616,427,8,23,16,6.58,14,535,13,105,32,94
751550,6202457,431,8,23,14,5.18,9,212,18,92,30,58
749280,6202795,456,8,21,12,4.73,9,432,12,68,22,88
749093,6202711,491,8,16,16,7.42,9,391,10,83,21,94
749383,6203370,465,8,19,14,3.99,9,356,10,63,17,72
749391,6203854,470,8,17,13,5.38,9,362,10,69,24,97
748549,6204267,387,8,12,13,2.65,9,237,10,51,16,51
748053,6203176,459,9,20,14,4.85,10,452,12,82,32,81
748212,6203144,479,9,18,16,4.69,10,306,10,65,17,74
748295,6203858,388,9,17,15,3.09,10,233,13,56,12,50
756174,6208792,487,9,27,19,4.95,13,341,10,94,25,100
750712,6204789,500,9,30,20,6.02,16,418,10,74,27,87
750703,6205646,494,9,23,19,8.98,10,262,11,78,32,123
750754,6205436,381,11,17,16,5.59,10,239,12,77,62,71
749700,6205385,468,9,16,15,6.45,10,353,12,76,17,81
749725,6204909,474,9,20,11,4.70,10,340,10,67,21,88
749007,6205157,405,9,27,14,3.60,10,297,10,74,22,72
749503,6206325,419,9,18,12,6.63,10,239,10,72,31,77
751033,6207386,473,9,21,14,7.19,10,318,10,91,12,99
750868,6208109,395,9,21,17,7.75,10,411,20,71,24,99
750544,6208363,397,9,27,17,6.09,11,162,13,84,29,114
748709,6207132,555,9,17,14,6.68,11,389,10,85,63,76
748925,6207621,496,9,23,17,5.45,12,237,11,66,46,73
748817,6208446,512,9,19,14,6.42,11,308,10,92,35,89
